iter	Passed	Remaining
0	1	197
1	3	187
2	5	172
3	6	159
4	8	160
5	10	159
6	11	157
7	13	156
8	15	154
9	16	151
10	18	150
11	20	146
12	21	144
13	23	141
14	24	140
15	26	139
16	28	136
17	29	133
18	31	132
19	32	130
20	34	128
21	35	127
22	37	126
23	39	125
24	41	123
25	42	121
26	43	118
27	45	117
28	47	115
29	48	113
30	50	111
31	51	110
32	53	108
33	55	107
34	57	105
35	58	104
36	60	102
37	61	100
38	63	98
39	64	97
40	66	95
41	67	92
42	68	91
43	70	89
44	71	87
45	73	86
46	75	84
47	76	82
48	78	81
49	80	80
50	82	79
51	84	77
52	86	76
53	88	74
54	89	73
55	91	71
56	92	70
57	94	68
58	97	67
59	98	65
60	100	64
61	102	62
62	104	61
63	107	60
64	109	59
65	112	58
66	115	56
67	117	55
68	120	53
69	123	52
70	125	51
71	128	50
72	131	48
73	134	47
74	138	46
75	141	44
76	143	42
77	146	41
78	149	39
79	151	37
80	154	36
81	157	34
82	159	32
83	162	30
84	166	29
85	169	27
86	172	25
87	175	23
88	177	21
89	180	20
90	183	18
91	186	16
92	189	14
93	191	12
94	193	10
95	196	8
96	199	6
97	201	4
98	204	2
99	208	0
