iter	Passed	Remaining
0	0	827
1	1	785
2	2	724
3	2	682
4	3	663
5	3	643
6	4	637
7	5	635
8	5	629
9	6	629
10	6	623
11	7	620
12	8	612
13	8	604
14	9	597
15	9	594
16	10	590
17	10	588
18	11	594
19	12	594
20	12	600
21	13	599
22	14	600
23	14	596
24	15	593
25	15	593
26	16	591
27	16	588
28	17	591
29	18	591
30	18	590
31	19	588
32	20	586
33	20	586
34	21	584
35	21	581
36	22	579
37	22	578
38	23	575
39	24	576
40	24	576
41	25	576
42	25	575
43	26	572
44	27	573
45	27	571
46	28	568
47	28	566
48	29	563
49	29	562
50	30	562
51	30	562
52	31	561
53	32	561
54	32	560
55	33	557
56	33	556
57	34	554
58	34	552
59	35	549
60	35	547
61	36	547
62	36	547
63	37	546
64	37	545
65	38	547
66	39	546
67	39	544
68	40	544
69	40	542
70	41	541
71	41	539
72	42	538
73	43	538
74	43	538
75	44	537
76	44	538
77	45	537
78	46	536
79	46	535
80	47	533
81	47	532
82	47	528
83	48	527
84	49	528
85	49	527
86	50	526
87	52	542
88	53	544
89	54	547
90	55	551
91	56	552
92	56	553
93	57	553
94	58	553
95	58	553
96	59	553
97	60	553
98	60	554
99	62	559
100	63	562
101	63	563
102	64	562
103	65	562
104	65	560
105	66	560
106	67	559
107	67	558
108	68	558
109	68	557
110	69	556
111	70	556
112	71	558
113	71	558
114	72	559
115	73	558
116	73	557
117	74	557
118	75	557
119	75	556
120	76	557
121	77	555
122	77	555
123	78	554
124	79	554
125	79	553
126	80	552
127	81	552
128	81	552
129	82	551
130	82	550
131	83	549
132	84	547
133	84	546
134	85	545
135	85	543
136	86	542
137	86	541
138	87	541
139	87	540
140	88	539
141	88	536
142	89	535
143	89	534
144	90	533
145	90	531
146	91	530
147	92	529
148	92	528
149	93	530
150	94	529
151	94	527
152	95	526
153	95	525
154	96	523
155	96	522
156	97	521
157	97	520
158	98	518
159	98	517
160	98	515
161	99	514
162	99	512
163	100	511
164	100	510
165	101	509
166	101	508
167	102	507
168	102	506
169	103	505
170	103	503
171	104	502
172	104	501
173	105	500
174	105	499
175	106	499
176	107	498
177	107	498
178	108	498
179	109	497
180	109	496
181	110	495
182	111	495
183	111	494
184	112	494
185	112	493
186	113	492
187	114	492
188	114	492
189	115	491
190	115	490
191	116	490
192	117	489
193	117	489
194	118	489
195	119	489
196	119	489
197	120	488
198	121	487
199	121	486
200	122	486
201	122	485
202	123	484
203	123	483
204	124	483
205	125	482
206	125	481
207	126	481
208	126	480
209	127	479
210	127	478
211	128	477
212	128	476
213	129	475
214	129	474
215	130	473
216	131	472
217	131	472
218	132	471
219	132	470
220	133	469
221	133	468
222	134	467
223	134	466
224	135	465
225	135	464
226	136	463
227	136	462
228	137	462
229	138	462
230	138	461
231	139	461
232	139	460
233	140	459
234	140	458
235	141	457
236	141	456
237	142	455
238	142	454
239	143	453
240	143	453
241	144	453
242	145	452
243	145	451
244	146	450
245	146	449
246	147	448
247	147	447
248	148	446
249	148	445
250	149	445
251	149	444
252	150	443
253	150	442
254	151	441
255	151	441
256	152	440
257	152	439
258	153	438
259	153	437
260	154	436
261	154	435
262	155	434
263	155	433
264	156	432
265	156	432
266	157	431
267	157	430
268	158	429
269	158	428
270	159	427
271	159	426
272	160	426
273	160	425
274	160	424
275	161	423
276	161	422
277	162	421
278	162	421
279	163	420
280	164	420
281	164	419
282	165	419
283	166	418
284	166	417
285	167	417
286	167	416
287	168	415
288	168	414
289	169	414
290	169	414
291	170	413
292	171	413
293	171	412
294	172	411
295	172	410
296	173	410
297	173	409
298	174	408
299	174	408
300	175	407
301	176	406
302	176	406
303	177	405
304	177	404
305	178	403
